Date,Close,High,Low,Open,Volume
2021-05-12,111.71189880371094,113.96190880343562,110.8692615440797,112.97584785401374,13529600
2021-05-13,113.9439697265625,115.17206099718466,112.83241061735066,113.95293584333044,10633000
2021-05-14,116.66909790039062,117.80755552425735,114.57147765732667,115.30654887726392,9391100
2021-05-17,116.3553466796875,116.38223819188309,114.48182487338663,115.89816361578833,5917400
2021-05-18,115.55754089355469,117.64620177498557,115.44996115935568,117.10834413885419,8651100
2021-05-19,117.12627410888672,117.27866391124267,113.35233880697261,114.01569472159937,8112900
2021-05-20,118.90116119384766,119.47486950915764,117.84339204429823,117.90613433841946,9208400
2021-05-21,117.8434066772461,118.94599970424288,116.97387798037371,118.45296585370387,8674000
2021-05-24,119.1431884765625,120.12028301832639,117.72684319957919,117.72684319957919,8229300
2021-05-25,119.89617919921875,120.3892129521434,119.04458290504935,119.70792497418054,7271400
2021-05-26,119.3045425415039,120.58643034042979,118.52466146610074,120.00374909426907,6663300
2021-05-27,119.797607421875,120.69402771496844,118.96394311487643,118.98186167237081,7379300
2021-05-28,120.60435485839844,121.59042244480493,120.07547027945554,120.25475156472437,7042200
2021-06-01,120.06652069091797,121.9759000449003,119.6989851355745,121.10637137898351,7059600
2021-06-02,120.5710678100586,121.39096220161453,119.35471996562445,119.99441824084113,6026000
2021-06-03,118.7330551147461,120.18365682194295,118.40869654207832,119.51691593699108,6644000
2021-06-04,121.03958892822266,121.67930102533043,119.11146138995625,119.4087912028584,7416700
2021-06-07,120.12059020996094,120.52603497478216,119.50790681691701,120.46295876234448,5563300
2021-06-08,120.91343688964844,121.98562234694765,119.83224643831771,120.78729823279457,9657900
2021-06-09,119.7331314086914,121.94958342532574,119.64302647988634,121.72433485139503,6717200
2021-06-10,120.93143463134766,121.72431387433109,119.45380479092914,119.87727313678806,5522300
2021-06-11,121.2918701171875,121.31889885121014,120.41790438889716,120.55306180709476,6529900
2021-06-14,123.71552276611328,123.71552276611328,121.44501332409463,121.81442427956594,7912600
2021-06-15,122.1568374633789,123.7786303329583,121.84148388526326,123.56238670098598,5723600
2021-06-16,121.58919525146484,123.48128904860334,120.42691848905159,122.95871063084049,7404700
2021-06-17,121.94960021972656,123.09385323425752,120.8143384519997,121.01255832420331,6618300
2021-06-18,119.83224487304688,121.25581755213565,119.14749413736767,121.22878882231163,12753600
2021-06-21,120.6972427368164,121.72437603150276,119.5259470065037,119.87733435078886,6371400
2021-06-22,121.70630645751953,121.913531288141,120.09351903098164,120.93145084293337,5976400
2021-06-23,122.1027603149414,122.74245861579719,121.46304826600266,121.53512946504385,6613800
2021-06-24,124.26512908935547,124.79671241348238,122.85057522283859,123.09383377911804,7941700
2021-06-25,124.02188873291016,125.66170533927402,123.40921906553366,124.74268709012411,7949200
2021-06-28,125.88692474365234,126.29236942918992,124.31918971174748,124.54443828683303,6645500
2021-06-29,128.4998016357422,128.79713140212672,125.46345526848708,125.8058374991266,6885400
2021-06-30,128.77908325195312,129.40979013578504,127.79700295856118,128.25651875952897,6449700
2021-07-01,126.8600082397461,128.86021681251947,126.45456352863427,128.761106883307,6094100
2021-07-02,128.46380615234375,128.5538973595888,127.26548173648827,127.93222266091426,5399100
2021-07-06,127.2114028930664,129.00437296942434,125.85089253577604,128.842200574774,7095200
2021-07-07,126.11219024658203,128.26556636352086,125.292282023676,128.15745143235392,5034900
2021-07-08,124.5985336303711,125.12111213323368,122.17486977390459,124.08497387202662,7501100
2021-07-09,127.42767333984375,127.69797449843878,124.16607693757094,124.23815816306882,7356800
2021-07-12,128.3646697998047,128.86021945603306,127.2204030932561,127.400599218771,6786500
2021-07-13,127.20237731933594,128.53585887257566,126.51762655411119,128.3376390132585,5657600
2021-07-14,129.51797485351562,131.85154758785728,128.39173159391984,129.29272620159645,11305700
2021-07-15,127.45468139648438,129.86933993193549,126.7879405518183,129.85131619340822,6667400
2021-07-16,125.8779525756836,128.4007262760504,125.7157664103254,127.82409032338289,5914300
2021-07-19,125.04901885986328,125.14812880340288,123.26505362423546,124.62556409901393,9371300
2021-07-20,125.73377227783203,126.51763301273081,123.6164299216204,125.25624634184959,6020400
2021-07-21,128.09437561035156,128.13942808116835,125.82386581240735,125.82386581240735,6161900
2021-07-22,128.33763122558594,128.70704219081375,127.4906943777298,127.941191531008,3862600
2021-07-23,130.5360870361328,130.63519698065892,127.96824722219199,129.24765775729327,6310400
2021-07-26,129.29269409179688,130.08557354902868,128.15744611737398,129.69813881494196,6253900
2021-07-27,126.97716522216797,128.8422306850117,124.52647250353213,128.3827283780338,7575800
2021-07-28,128.33763122558594,128.76109964951402,126.26534157088982,127.2834695366848,9303400
2021-07-29,136.0411376953125,136.51866358636187,131.91458204874354,131.99566823822386,19446900
2021-07-30,134.96897888183594,135.51858607689053,133.6715446018326,134.42837668247287,8404800
2021-08-02,134.12200927734375,137.20340806992098,133.53636849367422,135.14914220820282,10823800
2021-08-03,133.3021240234375,134.77074935313922,132.04974230763227,134.1670847309394,6223400
2021-08-04,133.54541015625,134.42838094499464,132.74352557555542,133.36521400011026,5556400
2021-08-05,132.2930145263672,132.86965041478084,130.2567720527999,132.662425544217,7169200
2021-08-06,131.79747009277344,133.5544065612698,131.4731115333522,131.66232642138317,5733300
2021-08-09,132.3740997314453,133.09489802356802,131.31993790030046,132.25696605640124,4966600
2021-08-10,131.4280548095703,132.89668014890788,128.30160299706793,132.7345077484845,4197100
2021-08-11,132.15785217285156,132.25696210690984,130.10358603790138,131.59924004347772,6216000
2021-08-12,132.58131408691406,133.34716478932916,131.89656332514355,133.130921194415,5777700
2021-08-13,133.92376708984375,134.52743150787995,132.38306107658764,132.44613726483948,5764000
2021-08-16,133.46429443359375,134.32023629703673,132.19388912940784,133.70755300394922,4410800
2021-08-17,130.11260986328125,132.44618215407476,129.3557778362267,132.40112968263685,7256800
2021-08-18,128.10337829589844,130.33785432575755,127.92318216396365,129.59903231231615,6546500
2021-08-19,126.68880462646484,127.44563651236227,125.20216958287479,126.72483834804409,8661000
2021-08-20,128.02230834960938,128.17547576860088,126.40953420415804,126.68884030632401,6141000
2021-08-23,129.86935424804688,130.29282278757077,128.25658004822193,128.52686741550457,6936900
2021-08-24,130.15765380859375,131.17576810636103,129.5990279459082,130.27477372895942,7066800
2021-08-25,129.6260986328125,131.03164811679287,129.26570626443873,130.1576959360821,5721600
2021-08-26,128.28355407714844,129.52691668066163,127.59878971049484,129.0133571537514,6825100
